sipl,container,supplier,status,OF_status,CUSTOMS_status,DUTY_status,DRAYAGE_status,missing_categories,pending_categories,overall_status
171174,SEGU3671280,NIKOLAUS BAGNARA SPA - AG,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
171175,FCIU5988655,Total Stone Boutique,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171189,MSDU2709103,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171201,CRSU1397223,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171204,MSMU1207869,Brasigran Brasileira de Granitos Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171210,TRHU1979741,Qualita Granitos E Marmores Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171238,MSMU2089056,Gramil Granitos E Marmores Itapemirim LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171239,TLLU2552582,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171239B,TLLU2552582,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171241,FSCU3468993,Gramil Granitos E Marmores Itapemirim LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171266,TCLU2478379,Thor Bahia Granitos LTDA - EPP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171267,MSDU2285670,Thor Bahia Granitos LTDA - EPP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171359,MSNU7395469,Emilceramica S.r.l (dba Emilgroup),INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171364,TGCU0143090,Qualita Granitos E Marmores Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171365,TCKU3393258,Mineral Stone Exportacao Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171369,MEDU6028498,Fortuna Granitos Do Brasil Ltda.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171396,MSMU2397315,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171398,MSDU8402053,COEM /FIORENESE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171405,MSDU8402053,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171479,MSDU8402053,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171624,MSDU8402053,COEM /FIORENESE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171630,TCLU3660731,Granexpo Do Brasil Granitos LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171691,MSDU8402053,Tuscania S.P.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171700,MSMU2241169,Payanini S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171710,CAIU2935674,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171722,MEDU3949204,TERLOS STONES LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171725,MEDU3949204,TERLOS STONES LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171726,MSBU3833934,Marmi Graniti Favorita,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
171755,MSMU2101927,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171756,TGBU1344515,G.R. Marmi Srl,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
171767,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171770,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171771,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171772,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171773,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171774,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171775,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171781,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171782,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171783,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171784,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171785,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171786,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171787,MSDU8402053,41zero42 srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171793,MEDU1380952,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171816,MSDU8402053,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171866,MSDU8402053,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171889,SEGU2963797,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171889B,SEGU2963797,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
171975,MSDU8402053,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172034,MEDU1380952,Granito Zucchi LTDA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172076,MSDU8402053,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172168,MSMU1005493,Ceramiche Marca Corona,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172214,GESU1342091,"Apollo Stone Imports, Inc.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172254,MSDU8402053,Emilceramica S.r.l (dba Emilgroup),INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172257,MSDU8402053,Tuscania S.P.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172264,MSDU8402053,Emilceramica S.r.l (dba Emilgroup),INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172493,MSDU2447472,PAVESTONE Lda.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172500,MSMU2101927,Ceramica Sant Agostino,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172502,MSMU2101927,Ceramica Sant Agostino,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172645,BSIU2443290,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172689,MSDU2271125,Bruno Lucchetti Marmi E Graniti Srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172690,MSDU1284560,Granitos Cabaleiro,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
172873,MSMU2101927,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
173163,MSBU1255457,G.R. Marmi Srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
173436,MEDU5459340,Franchi Umberto Marmi SPA,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
